filename,interval,transcript,sentiment,caller,conversation_date,industry,inserted_date
transcript_1,0,good afternoon,0.92203184314638720000,customer,2026-01-25 00:00:00,Insurance,2026-02-26
transcript_1,10,I had an accident last week and I need to file a claim.,-0.61008157187864830000,customer,2026-01-25 00:00:10,Insurance,2026-02-26
transcript_1,20,It's 123456.,0.00015092202873451250,customer,2026-01-25 00:00:20,Insurance,2026-02-26
transcript_1,40,I was driving home from work and another car ran a red light and hit me.,-0.89041168494760170000,customer,2026-01-25 00:00:40,Insurance,2026-02-26
transcript_1,50,"No, I was lucky. Just some damage to my car.",-0.90505535005380720000,customer,2026-01-25 00:00:50,Insurance,2026-02-26
transcript_1,60,It was last Wednesday at 5 pm.,0.00015560015017612730,customer,2026-01-25 00:01:00,Insurance,2026-02-26
transcript_1,70,"Yes, I have their insurance information and a police report.",0.00029742493803341930,customer,2026-01-25 00:01:10,Insurance,2026-02-26
transcript_1,80,"Okay, that sounds good. Thank you for your help.",0.97442300269868580000,customer,2026-01-25 00:01:20,Insurance,2026-02-26
transcript_2,0,"good afternoon, I'm calling to report a breakdown with my washing machine. It's not turning on at all.",-0.94870448349461120000,customer,2026-01-27 00:00:00,Insurance,2026-02-26
transcript_2,20,"Yeah, it's model number WM1234 and serial number SN123456. And I'm really frustrated because I've had this machine for only two years and it's already broken down on me.",-0.96179168970201900000,customer,2026-01-27 00:00:20,Insurance,2026-02-26
transcript_2,50,"No, there's no error message. It just won't turn on. I've tried unplugging it and plugging it back in, but nothing's working. And like I said, it's only two years old. I expect more from your company.",-0.94162910834771900000,customer,2026-01-27 00:00:50,Insurance,2026-02-26
transcript_2,80,"Yeah, tomorrow's fine. But I better not have to pay for this. This is your company's fault, not mine.",-0.76521247292402310000,customer,2026-01-27 00:01:20,Insurance,2026-02-26
transcript_2,100,"Yeah, it's 123 Main St, Anytown USA. And my phone number is 555-555-5555.",0.01966023571384028000,customer,2026-01-27 00:01:40,Insurance,2026-02-26
transcript_2,120,"No, that's it. Just get this fixed.",-0.91494159954531000000,customer,2026-01-27 00:02:00,Insurance,2026-02-26
transcript_3,0,good afternoon. I'm calling about a new claim I need to file. I've been trying to do it online but your website is useless. I've been trying for hours and I can't get past the first step.,-0.94905591361436050000,customer,2026-01-30 00:00:00,Insurance,2026-02-26
transcript_3,30,"The issue is that it's not working! I've tried different browsers, different devices, and I still can't get past the first step. It's ridiculous.",-0.96266527305104850000,customer,2026-01-30 00:00:30,Insurance,2026-02-26
transcript_3,50,It's 123456. And I want to know why your website doesn't work. This is unacceptable.,-0.96146586129129720000,customer,2026-01-30 00:00:50,Insurance,2026-02-26
transcript_3,70,"A technical glitch? That's just great. So, you're telling me that I wasted hours of my time because of your company's incompetence?",-0.94908673857963230000,customer,2026-01-30 00:01:10,Insurance,2026-02-26
transcript_3,90,Fine. It was a car accident. The other driver was at fault and I need to get my car repaired.,-0.87029977406738860000,customer,2026-01-30 00:01:30,Insurance,2026-02-26
transcript_3,120,And what about the website? When is it going to be fixed?,-0.84476646512089790000,customer,2026-01-30 00:02:00,Insurance,2026-02-26
transcript_3,130,Unbelievable. I'm going to have to call back and check on the status of my claim because I don't trust your company to get it right.,-0.96471306345807260000,customer,2026-01-30 00:02:10,Insurance,2026-02-26
transcript_4,0,good afternoon,0.92203184314638720000,customer,2026-01-15 00:00:00,Insurance,2026-02-26
transcript_4,10,I'm interested in getting a quote for my car insurance.,0.86435654134338670000,customer,2026-01-15 00:00:10,Insurance,2026-02-26
transcript_4,30,It's a 2018 Honda Civic.,0.09669067108483524000,customer,2026-01-15 00:00:30,Insurance,2026-02-26
transcript_4,40,I'm looking to switch. I'm not happy with my current provider.,-0.95656099143024340000,customer,2026-01-15 00:00:40,Insurance,2026-02-26
transcript_4,50,That sounds reasonable. What does that premium include?,0.04538770605376463000,customer,2026-01-15 00:00:50,Insurance,2026-02-26
transcript_4,60,That sounds good. What's the deductible for the comprehensive coverage?,0.71979941069707270000,customer,2026-01-15 00:01:00,Insurance,2026-02-26
transcript_4,70,"Okay, that's acceptable. What's the process for switching to your insurance provider?",0.04014175429167155000,customer,2026-01-15 00:01:10,Insurance,2026-02-26
transcript_5,0,good afternoon,0.92203184314638720000,customer,2026-02-18 00:00:00,Insurance,2026-02-26
transcript_5,20,"Oh, hi Emily. Yeah, I did purchase that. What's this about?",0.03574437225517813000,customer,2026-02-18 00:00:20,Insurance,2026-02-26
transcript_5,30,What kind of information are you missing?,-0.85422994375629990000,customer,2026-02-18 00:00:30,Insurance,2026-02-26
transcript_5,50,"Okay, my company name is ABC Inc. and we're in the tech industry.",0.18705083570602400000,customer,2026-02-18 00:00:50,Insurance,2026-02-26
transcript_5,60,"No, that's all. Thanks for reaching out, Emily.",0.74731562349724420000,customer,2026-02-18 00:01:00,Insurance,2026-02-26
transcript_6,0,good afternoon,0.92203184314638720000,customer,2026-01-06 00:00:00,Insurance,2026-02-26
transcript_6,20,Yeah... I don't understand why it was denied. I followed all the procedures and submitted all the necessary documents.,-0.78812498583779830000,customer,2026-01-06 00:00:20,Insurance,2026-02-26
transcript_6,40,It's #12345.,0.00038308920128521380,customer,2026-01-06 00:00:40,Insurance,2026-02-26
transcript_6,60,But I'm sure I submitted all the forms. I double-checked before sending them in.,-0.00324283376835404800,customer,2026-01-06 00:01:00,Insurance,2026-02-26
transcript_6,80,Okay... I hope they can resolve this issue quickly. I really need the coverage.,-0.15505630805899790000,customer,2026-01-06 00:01:20,Insurance,2026-02-26
transcript_6,100,"Okay, thank you. I appreciate your help.",0.97702131323953500000,customer,2026-01-06 00:01:40,Insurance,2026-02-26
transcript_7,0,good afternoon. I'm calling about the missing information on my account. I've been trying to update it online but it's not going through.,-0.52774322526513220000,customer,2025-12-29 00:00:00,Insurance,2026-02-26
transcript_7,20,It's 1234567890.,0.00017736960032810330,customer,2025-12-29 00:00:20,Insurance,2026-02-26
transcript_7,30,I've already uploaded them. I've been trying to update my information for weeks now.,-0.05722548620480228000,customer,2025-12-29 00:00:30,Insurance,2026-02-26
transcript_7,60,Okay. How long is that going to take?,-0.73683394238406640000,customer,2025-12-29 00:01:00,Insurance,2026-02-26
transcript_7,70,Alright. Thank you for your help.,0.92510398331104230000,customer,2025-12-29 00:01:10,Insurance,2026-02-26
transcript_22,40,"I'm on I-95, near exit 27.",0.00030164870551130370,customer,2026-01-29 00:00:40,Insurance,2026-02-26
transcript_8,0,good afternoon. I'm calling because I want to make some changes to my policy. I'm surprised I didn't get a better deal when I signed up.,0.18478224921976990000,customer,2026-02-04 00:00:00,Insurance,2026-02-26
transcript_8,20,"Yeah, I want to remove my old car and add my new one. I just got a new car and I don't want to pay for insurance on a car I don't own anymore.",-0.48011446006718410000,customer,2026-02-04 00:00:20,Insurance,2026-02-26
transcript_8,30,"Yeah, the VIN number of the new car is 1HGCM82633A004321 and the license plate number of the old car is ABC1234.",0.01386473349656035000,customer,2026-02-04 00:00:30,Insurance,2026-02-26
transcript_8,50,How much is it going to increase by? I'm not sure I want to pay more.,-0.94116423729502530000,customer,2026-02-04 00:00:50,Insurance,2026-02-26
